,STATION,Station Latitude,Station Longitude,SEGMENT,SECTOR,BOROUGH,AVGWKDRIDER,AVGWKND,ANN_RID
245,Franklin St,40.719318,-74.006886,Broadway/7 Av (CBD),Valley,Manhattan,4337,4222,1329726
246,City Hall,40.713282,-74.006978,Broadway-60 St,Downtown,Manhattan,3842,2987,1138401
247,Fulton St,40.710374,-74.007582,Manhattan CBD Transfer,Downtown,Manhattan,57533,59967,17887203
248,Fulton St,40.710374,-74.007582,Crosstown,Other Brooklyn,Brooklyn,4656,6494,1534593
249,Chambers St,40.714111,-74.008585,Broadway/7 Av (CBD),Downtown,Manhattan,12798,9934,3782605
250,Chambers St,40.714111,-74.008585,Manhattan CBD Transfer,Downtown,Manhattan,40703,35944,12298422
251,Wall St,40.706821,-74.0091,Broadway/7 Av (CBD),Downtown,Manhattan,12395,10788,3729954
252,Wall St,40.706821,-74.0091,Lexington Av (CBD),Downtown,Manhattan,11163,10252,3393094
253,Chambers St,40.715478,-74.009266,Broadway/7 Av (CBD),Downtown,Manhattan,12798,9934,3782605
254,Chambers St,40.715478,-74.009266,Manhattan CBD Transfer,Downtown,Manhattan,40703,35944,12298422
255,Fulton St,40.710368,-74.009509,Manhattan CBD Transfer,Downtown,Manhattan,57533,59967,17887203
256,Fulton St,40.710368,-74.009509,Crosstown,Other Brooklyn,Brooklyn,4656,6494,1534593
257,Broad St,40.706476,-74.011056,Nassau St,Downtown,Manhattan,3982,3705,1214353
258,Wall St,40.707557,-74.011862,Broadway/7 Av (CBD),Downtown,Manhattan,12395,10788,3729954
259,Wall St,40.707557,-74.011862,Lexington Av (CBD),Downtown,Manhattan,11163,10252,3393094
260,Rector St,40.70722,-74.013342,Broadway/7 Av (CBD),Downtown,Manhattan,4898,6620,1606245
261,Rector St,40.70722,-74.013342,Broadway-60 St,Downtown,Manhattan,3719,3354,1127341
262,South Ferry,40.702068,-74.013664,Manhattan CBD Transfer,Downtown,Manhattan,18765,22231,5995305
263,Rector St,40.707513,-74.013783,Broadway/7 Av (CBD),Downtown,Manhattan,4898,6620,1606245
264,Rector St,40.707513,-74.013783,Broadway-60 St,Downtown,Manhattan,3719,3354,1127341
265,Bowling Green,40.704817,-74.014065,Lexington Av (CBD),Downtown,Manhattan,14906,14337,4575586
